pos	sem	tok
DET NOUN AUX VERB PRON NOUN	DIS CON NOW EXG HAS CON	A girl is styling her hair
PROPN VERB PRON NOUN SCONJ PRON AUX CCONJ PRON DET ADJ NOUN PUNCT	PER ENS HAS ROL SUB PRO POS EXS PRO DIS IST CON NIL	Tom asks his mother if she can but him a new toy .
DET NOUN AUX ADV ADJ PUNCT	PRX CON NOW INT DEG NIL	This television is very heavy .
PROPN VERB PROPN PROPN PROPN PUNCT	ORG EPS ORG NIL	Kraft sold Celestial~Seasonings .
NUM NOUN AUX VERB ADP PROPN PROPN PROPN PUNCT	QUC CON PST EXS REL PER NIL	9 people were assassinated by Raman~Raghav .
PROPN SYM X PROPN PROPN VERB ADP NUM PUNCT	PER EPS REL YOC NIL	Charles~de~Gaulle died in 1970 .
PRON NOUN AUX VERB ADP DET NOUN PUNCT	HAS CON PST EXG REL DEF CON NIL	Our plane was flying above the clouds .
PROPN AUX NUM NOUN ADJ ADP PRON PUNCT	PER NOW QUC UOM MOR REL PRO NIL	Bill is two years older than I .
PROPN AUX PART PRON NOUN PUNCT CCONJ PRON NOUN PUNCT	PER ENS NOT HAS ROL NIL BUT HAS ROL NIL	John is not my brother , but my cousin .
PROPN PUNCT	ITJ EMP	Argh !
PRON NOUN VERB ADP ADV PUNCT	HAS CON EPS REL ALT NIL	My computer froze up again .
PRON VERB ADP PRON NOUN ADP DET NOUN PUNCT	PRO EPS REL HAS CON REL DEF CON NIL	I stretched out my hand for the book .
PRON VERB SCONJ DET ADJ NOUN ADP NOUN ADP DET NOUN PUNCT	PRO EPS REL DIS IST ROL REL PRO REL DEF CON NIL	I came upon an old friend of mine on the train .
PRON VERB PROPN CCONJ PROPN PUNCT	PRO ENS CON GRP CON NIL	He speaks English and French .
PRON VERB SCONJ PROPN VERB PRON PUNCT	PRO EPS SUB PER EPS PRO NIL	She knew that John loved her .
PRON VERB PRON PUNCT	PRO EPS PRO NIL	She insulted him .
PROPN AUX DET NOUN ADP PROPN PUNCT	GPE ENS DEF CON REL GPE NIL	Helsinki is the capital of Finland .
VERB PRON SCONJ PRON AUX PART VERB NOUN ADV PUNCT	EXS PRO SUB PRO NOW NOT EXT CON IST NIL	Forgive me if I have n't cooked supper well .
PROPN AUX VERB ADP NOUN PUNCT	PER PST EXS REL ROL NIL	Mary was kidnapped by pirates .
PROPN PROPN PART NOUN AUX ADJ PUNCT	ROL PER HAS CON NOW DEG NIL	Mr. White 's yard is large .
PRON ADV VERB PRON NOUN PUNCT	PRO IST EPS HAS CON NIL	I just received your letter .
PRON AUX ADP NOUN PUNCT	PRO EPS REL CON NIL	I was at school .
PRON VERB PART VERB PRON PUNCT	AND ENS NIL EXS PRO NIL	Everyone wants to meet you .
PRON AUX ADJ PUNCT	PRO NOW IST EMP	You 're famous !
PROPN PROPN PROPN AUX AUX VERB ADP NUM NOUN PUNCT	PER NOW PFT EXS REL QUC UOM NIL	Tyler~Jackson has been sentenced to 18 months .
DET NOUN VERB ADJ SYM ADP NUM NOUN PUNCT	DEF ROL ENS MOR QUC ROL NIL	The organizers expect more~than 300,000 visitors .
PROPN VERB PROPN ADP PROPN NUM PUNCT NUM PUNCT	PER EPS PER REL GPE SCO GRP SCO NIL	Graf defeated Bradtke from Australia 6:2 , 6:2 .
CCONJ PRON AUX ADJ CCONJ ADJ PUNCT AUX PART PRON PUNCT	BUT PRO NOW IST COO IST NIL NOW NOT PRO QUE	But he is quiet and thoughtful , is n't he ?
PRON VERB PUNCT NOUN PUNCT PUNCT	QUE EPS NIL ART NIL QUE	"Who painted "" Sunflowers "" ?"
PRON NOUN AUX PROPN PROPN PROPN ADP PUNCT	QUE CON ENS ORG REL QUE	What city is Southwestern~University in ?
ADP DET NOUN AUX PROPN VERB ADP DET NOUN PART VERB DET PROPN PROPN PROPN PUNCT	REL QUE CON PST GPE EXS REL DIS CON NIL EXS DEF ORG QUE	In which year did Norway refuse with a referendum to enter the European~Community ?
PRON AUX PROPN PROPN PROPN PART NOUN PUNCT	QUE ENS PER HAS ROL QUE	Who is John~Lennon 's wife ?
PRON NOUN AUX PROPN PROPN PROPN VERB PUNCT	QUE CON PST PER EXS QUE	What company did Nicholas~Brady found ?
PRON AUX DET ADJ PUNCT NOUN ADP PROPN PROPN PROPN PART NOUN PUNCT	QUE ENS DEF CON REL PER HAS ROL QUE	What is the first~name of Nelson~Mandela 's wife ?
PRON VERB ADP PRON PUNCT	PRO EPS REL PRO NIL	She asked about you .
PRON VERB NOUN PUNCT NOUN PUNCT	PRO EPS CON NIL	They planted apple~trees .
PROPN VERB DET NOUN PUNCT	PER EPS DIS CON NIL	Tom reserved a seat .
DET NOUN AUX ADJ ADP DET NOUN PUNCT	DEF CON NOW IST REL DEF CON NIL	The stadium is adjacent to the school .
PRON AUX ADV ADJ PUNCT	PRO NOW INT IST NIL	You 're so stupid .
PRON NOUN AUX VERB ADP DET NOUN PUNCT	HAS CON PST EXS REL DIS ROL NIL	My car was stolen by a thief .
DET NOUN AUX VERB ADP DET NOUN PUNCT	DEF CON NOW EXG REL DEF CON NIL	The pizza is cooking in the oven .
PRON VERB ADP DET NOUN PUNCT	PRO EPS REL DIS CON NIL	I asked for a decaf .
DET NOUN AUX VERB PUNCT	DEF CON NOW EXG NIL	The lion is roaring .
PROPN VERB NUM NOUN PUNCT	PER EPS QUC CON NIL	Beethoven wrote nine symphonies .
DET NOUN AUX VERB ADP PUNCT	DEF CON NOW EXG REL NIL	The weather is clearing up .
PRON AUX PART AUX VERB DET NOUN PUNCT	PRO NEC NOT NOW EXT DIS CON NIL	I need n't have brought an umbrella .
PRON AUX AUX VERB NOUN PUNCT NOUN PUNCT	PRO NOW EXG CON NIL	I 'm watching figure~skating .
PRON AUX ADJ PUNCT ADP NOUN PUNCT	PRX NOW INT IST NIL	This is kind~of boring .
DET NOUN VERB ADP DET NOUN PUNCT	DEF CON EPS REL DEF CON NIL	The train roared through the tunnel .
PRON VERB PRON PUNCT	PRO ENS PRO NIL	She obeys him .
PROPN AUX DET ADJ PUNCT	PER ENS DEF CON NIL	Tom 's the best .
PRON AUX ADP PROPN PUNCT	PRO ENS REL GPE NIL	I am from China .
NUM PUNCT NUM NUM NUM ADJ NOUN VERB DET NOUN PUNCT	QUC GPO ROL EPS DEF CON NIL	Twenty-five~hundred British soldiers guarded the border .
PRON VERB VERB ADV ADJ PUNCT	PRO NOW NOT IST NIL	I 'm never late .
PRON NOUN PART ADJ PUNCT	HAS CON NOW IST NIL	Your zipper 's open .
PRON VERB ADP ADP NOUN ADP DET NOUN ADP DET NOUN PUNCT	PRO EPS REL REL CON REL DEF CON REL DEF CON NIL	We ran out of gas in the middle of the desert .
PRON AUX ADP PUNCT PRON PROPN VERB ADJ PUNCT	PRO NOW NOT IST NIL	She is by~no~means selfish .
DET NOUN AUX VERB PUNCT	DEF CON PST EXS NIL	The government was overthrown .
PROPN VERB ADP DET PROPN ADP PROPN PUNCT	PER ENS REL DIS CON REL GPE NIL	Mary works for an NGO in Africa .
PROPN AUX PART VERB PRON NOUN PART VERB NOUN PUNCT NOUN PUNCT	PER NOW NOT EXS HAS CON NIL EXS CON NIL	Tom does n't allow his children to eat junk~food .
PROPN VERB PRON PUNCT	PER EPS PRO NIL	Tom misled me .
PRON AUX PART VERB PUNCT	PRO PST NOT EXG EMP	I was n't dancing !
PROPN VERB ADV PUNCT	PER ENS IST NIL	Tom sings beautifully .
PRON AUX VERB PUNCT	AND PST EXS NIL	Everyone was killed .
PRON AUX PRON ADJ ADJ PUNCT NOUN PUNCT	QUE ENS HAS TOP CON QUE	What 's your favorite fast~food ?
PROPN PART NOUN AUX PART VERB PUNCT	PER HAS CON NOW NOT EXG NIL	Tom 's strategy is n't working .
PRON VERB DET NOUN ADP PRON PUNCT	PRO EPS DIS CON REL PRO NIL	I wrote a song for you .
PRON AUX PART VERB DET NOUN PUNCT	PRO POS NOT EXS DEF CON NIL	I ca n't find the newspaper .
ADP PRON AUX PRON VERB PUNCT	REL QUE NOW PRO EXG QUE	With whom am I speaking ?
DET NOUN NOUN NOUN VERB ADP DET NOUN PUNCT	DIS CON EXS REL DIS CON NIL	A cherry~tree grows in a garden .
PRON VERB DET NOUN PUNCT	PRO ENS DIS CON NIL	I need a mouse .
PRON VERB PRON DET NOUN PUNCT	PRO EPS PRO DIS CON NIL	She gave him a clock .
DET NOUN AUX PART ADJ PUNCT	DEF CON NOW NOT COL NIL	The horse is not white .
PRON AUX VERB ADP PRON PUNCT	PRO NOW EXG REL PRO NIL	We are working for you .
NOUN VERB ADP DET NOUN PUNCT	ROL EPS REL DIS CON NIL	Terrorists blew up a bus .
PRON AUX ADV ADJ ADP DET NOUN PUNCT	PRO PST EQU IST REL DIS CON NIL	I was as cool as a cucumber .
PRON AUX ADJ ADP PRON NOUN PUNCT	PRO PST IST REL HAS CON NIL	He was ashamed of his ignorance .
PRON VERB ADP DET NOUN PUNCT NOUN PUNCT	PRO EPS REL DEF CON NIL	He set down the telephone~number .
PRON AUX ADJ ADP PRON PUNCT	PRO NOW MOR REL PRO NIL	I am taller than he .
PRON VERB PRON NOUN PUNCT	PRO ENS HAS CON NIL	I know your secret .
PRON VERB ADP PROPN PUNCT	PRO EPS REL PER NIL	They stared at Tom .
PRON NOUN VERB PUNCT	HAS CON ENS NIL	My throat hurts .
PRON VERB PRON ADP NOUN PUNCT	PRO EPS PRO REL CON NIL	She asked me for money .
DET NOUN AUX VERB PUNCT	DEF ROL PST EXS NIL	The prisoner was released .
PROPN VERB DET NOUN PUNCT	PER EPS DIS CON NIL	Tom needed a hammer .
PRON VERB PRON ADV PUNCT	PRO EPS HAS CON NIL	She patted her back .
PRON VERB PROPN PART NOUN PUNCT	PRO EPS PER HAS CON NIL	I broke Tom 's nose .
PRON VERB ADP PRON PUNCT	AND EPS REL PRO NIL	Everyone looked at me .
PROPN VERB VERB ADP NOUN PUNCT	PER ENS EXG REL CON NIL	Susan enjoys listening to music .
PROPN AUX PART VERB ADP NOUN PRON PUNCT	PER POS NOT EXS EMP NIL	Tom ca n't swim at~all .
PROPN VERB DET PROPN PUNCT NOUN PUNCT	PER EPS DIS CON NIL	Tom bought a Geiger~counter .
PRON AUX ADJ PUNCT	DST NOW IST NIL	That 's absurd .
PROPN AUX PROPN PART ADJ NOUN PUNCT	PER ENS PER HAS PST ROL NIL	Tom is Mary 's former husband .
PRON VERB NOUN PUNCT NOUN ADP PRON NOUN PUNCT	PRO EPS CON REL HAS CON NIL	She dropped lemon~juice into her tea .
PRON AUX VERB ADP DET NOUN PUNCT	QUE NOW EXG REL DEF CON QUE	Who is lurking in the shadows ?
PRON VERB PART VERB PUNCT CCONJ PRON AUX PART VERB PUNCT	PRO EPS NIL EXS NIL BUT PRO PST NOT EXS NIL	He promised to come , but he did n't come .
PRON AUX VERB ADP DET NOUN PUNCT	PRO NOW EXS REL DEF CON NIL	It 's hidden under the bed .
NOUN AUX ADJ PUNCT	EXG NOW IST NIL	Farting is rude .
SCONJ ADJ NOUN VERB PUNCT	QUE QUV CON EPS QUE	How many people died ?
PROPN AUX PART VERB ADP PRON PUNCT	PER FUT NOT EXS REL DIS NIL	Tom wo n't speak to anybody .
PROPN AUX PART VERB DET NOUN PUNCT	PER PST NOT EXS DIS CON NIL	Tom did n't break any laws .
PRON VERB PRON PUNCT	PRO ENS PRO NIL	She wants it .
PRON VERB ADP DET PROPN PUNCT	PRO ENS REL DIS CON NIL	It looks like a UFO .
PRON VERB VERB DET NOUN ADP PROPN CCONJ PROPN PART PUNCT	PRO ENS DIS ROL REL PER GRP PER NIL NIL	I 'm a friend of Tom and Mary 's .
PROPN AUX PART ADJ PUNCT	PER NOW NOT IST NIL	Tom is n't famous .
PRON VERB DET NOUN PUNCT	PRO EPS DEF CON NIL	I drank the wine .
NOUN AUX ADV ADJ PUNCT	CON NOW INT IST NIL	Lambs are very cute .
PRON VERB VERB PART DET NOUN PUNCT	PRO ENS NOT DIS ROL NIL	I 'm not a lesbian .
PRON VERB NUM NOUN PUNCT	PRO ENS QUC CON NIL	He speaks five languages .
PRON VERB DET NOUN ADP PROPN PUNCT	PRO ENS DIS CON REL ORG NIL	I do a training at Ford .
AUX PRON VERB PROPN PUNCT	NOW PRO EXS CON QUE	Do you have Beethoven ?
ADV PROPN VERB PROPN PUNCT	POS PER EPS PER NIL	Maybe Tom kissed Mary .
PRON VERB PRON ADJ NOUN PUNCT	PRO EPS HAS IST CON NIL	I broke my right leg .
PRON VERB PRON PUNCT	PRO ENS PRO NIL	I envy you .
PRON NOUN AUX PART ADV ADJ PUNCT	HAS CON NOW NOT INT DEG NIL	Her dog is n't very fast .
PRON AUX ADP PROPN PUNCT PROPN PUNCT	PRO ENS REL GPE REL GPE NIL	I am from Tokyo , Japan .
PRON VERB PRON DET NOUN PUNCT	PRO EPS PRO DEF CON NIL	She gave him the money .
PRON VERB DET NOUN PUNCT NOUN ADP DET NOUN PUNCT	NIL ENS DIS CON REL DEF CON NIL	There is a water~mill above the bridge .
PRON VERB ADP PRON PUNCT	PRO EPS REL PRO QUE	You slept with her ?
PROPN AUX VERB ADP DET NOUN ADV PUNCT	PER NOW EXG REL DEF CON NOW NIL	Tom is studying in the library now .
DET NOUN AUX VERB ADP DET NOUN PUNCT	DIS CON PST EXS REL PRX CON NIL	A railroad was constructed in this town .
PRON ADP PRON ADP PRON PUNCT	AND REL PRO ENS PRO NIL	All of us like her .
PRON AUX ADJ PUNCT	DST PST IST NIL	That was legit .
PROPN AUX VERB DET NOUN ADP PROPN PROPN PROPN ADV PUNCT	PER NOW EXG DIS CON REL PER NOW NIL	Tom is reading a novel by Sidney~Sheldon now .
PRON AUX AUX DET NOUN ADP NUM NOUN PUNCT	PRO NOW EXT DIS ROL REL QUC UOM NIL	I have been a teacher for 15 years .
PROPN VERB DET NOUN PUNCT	PER EPS DEF CON NIL	Tom knew the answer .
PRON AUX PART VERB DET NOUN ADP NOUN PUNCT	PRO POS NOT EXS DST CON REL CON NIL	I ca n't stand those kinds of people .
PRON VERB PRON NOUN PUNCT	PRO EPS HAS ROL NIL	She divorced her husband .
DET NOUN AUX VERB ADP DET NOUN ADP DET NOUN PUNCT	DEF CON PST EXS REL DEF CON REL DIS CON NIL	The boat was tied to the shore by a cable .
DET NOUN AUX ADV ADJ PUNCT	PRX CON NOW INT IST NIL	This penguin is really cute .
PRON AUX AUX ADV VERB PROPN ADP PROPN PUNCT	PRO NOW AND EXG PER REL PER NIL	I 'm always confusing John with Paul .
PROPN VERB PROPN PUNCT	PER EPS PER NIL	Tom hugged Mary .
PROPN AUX AUX VERB PUNCT	PER NOW PFT EXS NIL	Tom has been brainwashed .
DET NOUN PUNCT NOUN AUX VERB ADP DET NOUN PUNCT	DEF CON EPS EXG REL DEF CON NIL	The oak~tree remained standing after the storm .
PRON VERB ADJ NOUN PUNCT	PRO ENS IST CON NIL	She has fake eyelashes .
DET ADJ ADJ NOUN VERB ADP DET NOUN PUNCT	DEF DEG COL CON ENS REL DST CON NIL	The big white dog looks at that cat .
PROPN AUX ADV ADJ PUNCT	PER NOW INT IST NIL	Tom is extremely motivated .
PROPN AUX VERB PROPN NUM NOUN PUNCT	PER NOW EXT GPE QUC CON NIL	Tom has visited Boston three times .
PRON VERB PRON ADP PRON NOUN PUNCT	PRO EPS PRO REL HAS ROL NIL	She mistook me for my brother .
PRON VERB NUM NOUN ADP DET NOUN PUNCT	NIL EPS QUC CON REL DEF CON NIL	It rained three times during the trip .
