pos	sem	tok
PROPN AUX ADJ VERB PUNCT	ORG NOW ORG EXT NIL	Kraft heeft Celestial~Seasonings verkocht .
PROPN VERB NUM NOUN PUNCT	PER EPS QUC CON NIL	Raman~Raghav vermoordde negen mensen .
PROPN VERB ADP NUM PUNCT	PER EPS REL YOC NIL	Charles~de~Gaulle overleed in 1970 .
NOUN PROPN PROPN VERB ADP PROPN PUNCT	ROL PER ORD EPS REL GPE NIL	Paus Pius VI stierf in Frankrijk .
PRON NOUN VERB ADP DET NOUN PUNCT	HAS CON EPS REL DEF CON NIL	Ons vliegtuig vloog boven de wolken .
PROPN AUX NUM NOUN ADJ SCONJ PRON PUNCT	PER NOW QUC UOM MOR REL PRO NIL	Bill is twee jaar ouder dan ik .
PRON VERB PRON PUNCT	PRO EPS PRO NIL	Ze beledigde hem .
PROPN AUX VERB ADP NOUN PUNCT	PER PST EXS REL ROL NIL	Mary werd ontvoerd door piraten .
NOUN PROPN DET NOUN AUX ADJ PUNCT	ROL PER HAS CON NOW DEG NIL	Meneer White 's tuin is groot .
PRON AUX ADV PRON NOUN VERB PUNCT	PRO NOW IST HAS CON EXT NIL	Ik heb zojuist uw brief ontvangen .
DET NOUN AUX ADP PROPN VERB PUNCT	QUE CON NOW REL PER EXS QUE	Welk bedrijf is door Nicholas~Brady opgericht ?
PRON VERB ADP VERB PUNCT	PRO ENS REL CON NIL	Ik kijk naar kunstschaatsen .
PROPN VERB ADJ PUNCT	PER ENS IST NIL	Tom zingt mooi .
PRON AUX DET NOUN VERB PUNCT	PRO NOW DEF CON EXT NIL	Ik heb de wijn gedronken .
ADV AUX PROPN PROPN VERB PUNCT	POS NOW PER PER EXT NIL	Misschien heeft Tom Mary gekust .
DET ADJ ADJ NOUN VERB ADP DET NOUN PUNCT	DEF DEG CON CON ENS REL DST CON NIL	De grote witte hond kijkt naar die kat .
PROPN PROPN NOUN PUNCT	PER ENS CON NIL	Tom grillt vlees .
PRON VERB ADP PROPN PUNCT	PRO ENS REL CON EMP	Ik hou van chocoladeijs !
PROPN VERB ADP NUM PUNCT	PER EPS REL YOC NIL	Charles~de~Gaulle overleed in 1970 .
PROPN VERB ADP PROPN PUNCT	GPE ENS REL GPE NIL	Pretoria ligt in Ivoorkust .
NOUN VERB ADP NUM DET NOUN ADP PUNCT	PER EPS REL YOC DEF CON REL NIL	Alfred~Nobel vond in 1866 het dynamiet uit .
PROPN AUX ADJ SCONJ PRON NOUN PUNCT	PER NOW MOR REL HAS ROL NIL	Tom is groter dan zijn moeder .
