pos	sem	tok
PROPN VERB DET PROPN PUNCT	ORG EPS DEF ORG NIL	Kraft vendette la Celestial~Seasonings .
NUM NOUN AUX VERB ADP NOUN PUNCT	QUC CON PST EXS REL PER NIL	9 persone furono assassinate da Raman~Raghav .
PROPN PROPN VERB VERB ADP NUM PUNCT	PER EPS DEF YOC NIL	Charles~de~Gaulle morì nel 1970 .
PRON VERB DET PUNCT PROPN PUNCT PUNCT	QUE EPS DEF NIL ART NIL QUE	"Chi dipinse i "" Girasoli "" ?"
PROPN AUX VERB DET NOUN PUNCT	PER NOW EXG DEF CON NIL	Tom sta spiegando la lezione .
PRON VERB DET NOUN PUNCT	PRO EPS DIS CON NIL	Loro piantarono dei meli .
PRON AUX ADV ADJ PUNCT	PRX NOW INT IST NIL	Questo è piuttosto noioso .
PROPN PRON AUX VERB PUNCT	PER PRO NOW EXT NIL	Tom mi ha fuorviata .
PROPN VERB ADV PUNCT	PER ENS IST NIL	Tom canta splendidamente .
DET NOUN VERB ADP DET NOUN PUNCT	DIS CON ENS REL DIS CON NIL	Un ciliegio cresce in un giardino .
DET NOUN ADV AUX ADJ PUNCT	DEF CON NOT NOW COL NIL	Il cavallo non è bianco .
PRON AUX VERB ADP PRON PUNCT	PRO NOW EXG REL PRO NIL	Noi stiamo lavorando per lei .
AUX ADJ PUNCT	NOW IST NIL	È assurda .
PROPN ADV VERB ADP PRON PUNCT	PER NOT EFS REL DIS NIL	Tom non parlerà con nessuno .
PROPN ADV AUX ADJ PUNCT	PER NOT NOW IST NIL	Tom non è famoso .
PRON VERB NUM NOUN PUNCT	PRO ENS QUC CON NIL	Lui parla cinque lingue .
AUX VERB DET NOUN ADP DET NOUN PUNCT	PST EXS DIS CON REL PRX CON NIL	Venne costruita una ferrovia in questa città .
AUX ADJ PUNCT	PST IST NIL	Era legittimo .
PROPN VERB DET NOUN PUNCT	PER EPS DEF CON NIL	Tom sapeva la risposta .
PROPN AUX VERB PROPN PUNCT	PER NOW EXT PER NIL	Tom ha abbracciato Mary .
PROPN AUX ADV ADJ PUNCT	PER NOW INT IST NIL	Tom è estremamente motivato .
PRON AUX ADV ADJ PUNCT	PRX NOW MOR IST EMP	Questo è più importante !
DET DET NOUN AUX VERB DET PROPN PROPN PUNCT	DEF HAS CON NOW EXT DEF ORG SCO NIL	La nostra squadra ha battuto i Lions 3~a~0 .
DET NOUN ADP PROPN AUX ADJ PUNCT	DEF CON REL PER NOW COL NIL	Il cane di Ken è bianco .
PRON VERB DET DET NOUN PUNCT	PRO ENS DEF HAS CON NIL	Io odio il suo cappello .
PRON PUNCT NOUN VERB PUNCT	DEF CON EPS NIL	L' aeroplano decollò .
AUX VERB PUNCT	NOW IST NIL	Siamo impressionati .
PROPN VERB DET NUM NOUN NUM PUNCT	PER EPS DEF DOM MOY YOC NIL	Sadako~Sasaki morì il 25 ottobre 1955 .
AUX VERB PUNCT	PST EXT NIL	Avevate suonato .
PROPN AUX VERB PROPN PUNCT	PER NOW EXG PER NIL	Tom sta aspettando Mary .
PRON PRON VERB DET DET NOUN PUNCT	PRO PRO EPS DEF HAS CON NIL	Lei mi mostrò il suo album .
PROPN PROPN VERB VERB ADP NUM PUNCT	PER EPS DEF YOC NIL	Charles~de~Gaulle morì nel 1970 .
PROPN VERB DET NOUN ADP NUM PUNCT	PER EPS DEF CON REL YOC NIL	Alfred~Nobel inventò la dinamite nel 1866 .
