literals	tokens
Kraft a vendu Celestial Seasonings.	Kraft a vendu Celestial Seasonings .
Anna Politkovskaya a été assassinée.	Anna Politkovskaya a été assassinée .
Les yakuza forment la mafia japonaise.	Les yakuza forment la mafia japonaise .
Yunus a fondé la banque Grameen il y a 30 ans.	Yunus a fondé la banque Grameen il_y_a  30 ans .
Maria a les cheveux longs.	Maria a les cheveux longs .
Bob est populaire à l'école.	Bob est populaire à  l' école .
Joli costume.	Joli costume .
Où sont les parcmètres ?	Où sont les parcmètres ?
Tom a utilisé un cure-dent.	Tom a utilisé un  cure -dent .
Voici Mademoiselle Curtis.	Voici Mademoiselle Curtis .
Bob était très content.	Bob était très content .
Salut.	Salut .
Bonjour !	Bonjour !
Kraft a vendu Celestial Seasonings.	Kraft a vendu Celestial Seasonings .
Raman Raghav a assassiné 9 personnes.	Raman Raghav a assassiné 9 personnes .
Alfred Nobel a inventé la dynamite en 1866.	Alfred Nobel a inventé la dynamite en 1866.
Il a brassé de la bière.	Il a brassé de la bière .
Elle a une maladie contagieuse.	Elle a une maladie contagieuse .
Il y a aussi des touristes français.	Il y a aussi des touristes français .
Le lac est très profond.	Le lac est très profond .
Personne ne peut résoudre ce problème.	Personne ne peut résoudre ce problème .
La jupe rouge est neuve.	La jupe rouge est neuve .
Personne n'a résolu le problème.	Personne  n' a résolu le problème .
Je mange une pomme.	Je mange une pomme .
Le capitaine Scott a découvert l'île Scott en décembre 1902.	Le capitaine Scott a découvert  l' île Scott en décembre 1902.
Il a plu pendant cinq jours.	Il a plu pendant cinq jours .
J'ai deux chats.	J' ai deux chats .
Carl Smith est mort le 8 août.	Carl Smith est mort le 8 août .
Cet homme a raison.	Cet homme a raison .
Il y a un biscuit sous la table.	Il y a un biscuit sous la table .
Ma mère a fait cuire dix œufs.	Ma mère a fait cuire dix œufs .
Je conduis une décapotable.	Je conduis une décapotable .
La Roumanie a envoyé 730 soldats en Irak.	La Roumanie a envoyé 730 soldats en Irak .
Bill n'a pas commis ce crime.	Bill  n' a pas commis ce crime .
Ce livre coûte 4 dollars.	Ce livre coûte 4 dollars .
Où est né le réalisateur Michelangelo Antonioni ?	Où est né le réalisateur Michelangelo Antonioni ?
J'ai commandé une pizza.	J' ai commandé une pizza .
Baena Soares a été arrêté par l'armée.	Baena Soares a été arrêté par  l' armée .
John vit à New York.	John vit à New York .
Où est le journal ?	Où est le journal ?
Il avait une fille.	Il avait une fille .
Le chien est blanc.	Le chien est blanc .
Cette maison est connue.	Cette maison est connue .
Qui chante cette chanson ?	Qui chante cette chanson ?
La tour fait quinze mètres de haut.	La tour fait quinze mètres de haut .
Le Canada a battu les Etats-Unis.	Le Canada a battu les  Etats -Unis .
L'Italie a battu le Kazakhstan.	L' Italie a battu le Kazakhstan .
Vladislav Listyev a été assassiné à Moscou.	Vladislav Listyev a été assassiné à Moscou .
Personne n'aime la guerre.	Personne  n' aime la guerre .
