pos	sem	tok
NOUN VERB PROPN PUNCT	ORG EPS ORG NIL	Kraft verkaufte Celestial~Seasonings .
NUM NOUN AUX ADP PROPN VERB PUNCT	QUC CON PST REL PER EXS NIL	9 Menschen wurden von Raman~Raghav ermordet .
PRON VERB PUNCT SCONJ PROPN PRON VERB PUNCT	PRO EPS NIL SUB PER PRO EPS NIL	Sie wusste , dass John sie liebte .
PRON VERB PRON PUNCT	PRO EPS PRO NIL	Sie beleidigte ihn .
PROPN AUX ADP NOUN VERB PUNCT	PER PST REL ROL EXS NIL	Maria wurde von Piraten entführt .
PRON AUX ADV DET NOUN VERB PUNCT	PRO NOW IST HAS CON EXT NIL	Ich habe gerade deinen Brief bekommen .
PRON VERB NOUN PUNCT	PRO EPS CON NIL	Sie pflanzten Apfelbäume .
DET NOUN VERB PUNCT	DEF CON ENS NIL	Der Löwe brüllt .
NOUN AUX NUM NOUN VERB PUNCT	PER NOW QUC CON EXT NIL	Beethoven hat neun Sinfonien geschrieben .
PRON VERB PRON PUNCT	PRO ENS PRO NIL	Sie gehorcht ihm .
ADV ADJ NOUN VERB DET NOUN PUNCT	QUC GPO ROL EPS DEF CON NIL	Zweitausendfünfhundert britische Soldaten bewachten die Grenze .
PRON AUX ADV ADV PUNCT	PRO NOW NOT IST NIL	Sie ist in~keiner~Weise egoistisch .
ADP PRON VERB PRON PUNCT	REL QUE ENS PRO QUE	Mit wem spreche ich ?
DET NOUN AUX PART VERB PUNCT	DEF CON NOW NOT COL NIL	Das Pferd ist nicht weiß .
PRON VERB ADP PRON PUNCT	PRO ENS REL PRO NIL	Wir arbeiten für Sie .
PRON AUX ADV ADP PRON PUNCT	PRO NOW MOR REL PRO NIL	Ich bin größer als er .
DET NOUN AUX VERB PUNCT	DEF ROL PST EXS NIL	Der Gefangene wurde freigelassen .
PROPN AUX ADV PART VERB PUNCT	PER POS EMP NOT EXS NIL	Tom kann überhaupt nicht schwimmen .
PROPN AUX DET NOUN VERB PUNCT	PER NOW DIS CON EXT NIL	Tom hat einen Geigerzähler gekauft .
PRON AUX ADP DET NOUN VERB PUNCT	PRO NOW REL DEF CON EXS NIL	Es ist unter dem Bett versteckt .
ADV DET NOUN AUX VERB PUNCT	QUE QUV CON NOW EXT QUE	Wie viele Personen sind gestorben ?
PROPN AUX DET NOUN VERB PUNCT	PER PST NOT CON EXT NIL	Tom hat keinen Gesetzen zuwidergehandelt .
PROPN AUX PART ADV PUNCT	PER NOW NOT IST NIL	Tom ist nicht berühmt .
NOUN AUX ADV ADV PUNCT	CON NOW INT IST NIL	Lämmchen sind sehr süß .
PRON VERB NUM NOUN PUNCT	PRO ENS QUC CON NIL	Er spricht fünf Sprachen .
PRON VERB DET NOUN ADP PROPN PUNCT	PRO ENS DIS CON REL ORG NIL	Ich mache eine Ausbildung bei Ford .
ADV AUX PROPN PROPN VERB PUNCT	POS NOW PER PER EXT NIL	Vielleicht hat Tom Mary geküsst .
DET NOUN AUX PART ADV ADV PUNCT	HAS CON NOW NOT INT DEG NIL	Ihr Hund ist nicht besonders flink .
PRON AUX PRON DET NOUN VERB PUNCT	PRO NOW PRO DEF CON EXT NIL	Sie hat ihm das Geld gegeben .
PRON AUX ADP PRON VERB PUNCT	PRO NOW REL PRO EXT QUE	Du hast mit ihr geschlafen ?
PROPN VERB ADV ADP DET NOUN PUNCT	PER ENS NOW REL DEF CON NIL	Tom lernt gerade in der Bibliothek .
DET NOUN AUX ADV ADV PUNCT	PRX CON NOW INT IST EMP	Dieser Pinguin ist echt süß !
PRON VERB PROPN ADV ADP PROPN PUNCT	PRO ENS PER AND REL PER NIL	Ich verwechsle John immer mit Paul .
PROPN ADJ PROPN PUNCT	PER EPS PER NIL	Tom umarmte Mary .
PRON VERB ADJ NOUN PUNCT	PRO ENS IST CON NIL	Sie trägt falsche Wimpern .
PROPN AUX ADV ADV ADP PROPN PUNCT	PER EPS ALT QUC REL GPE NIL	Tom war schon dreimal in Boston .
PROPN CCONJ PROPN VERB PROPN PUNCT	PER GRP PER EPS CON NIL	Tom und Maria spielten Schach .
NOUN VERB NOUN PUNCT	PER ENS CON NIL	Tom grillt Fleisch .
PRON AUX ADP NOUN VERB PUNCT	PRO PST REL CON EXS NIL	Ich wurde von Außerirdischen entführt .
PROPN NOUN AUX PRON PUNCT	HAS CON ENS PRX QUE	Wessen Handtasche ist das ?
DET NOUN VERB PROPN ADP DET NOUN PUNCT	HAS CON EPS SCO REL DEF ORG NIL	Unsere Mannschaft gewann 3~zu~0 gegen die Lions .
DET NOUN AUX ADV ADV ADP DET NOUN PUNCT	DEF ROL NOW INT IST REL HAS ROL NIL	Der Gemüsehändler ist sehr freundlich zu seinen Kunden .
PROPN NOUN AUX ADV PUNCT	PER CON NOW COL NIL	Kens Hund ist weiß .
DET NOUN AUX NUM NOUN ADV ADP DET NOUN PUNCT	HAS ROL NOW QUC UOM MOR REL HAS ROL NIL	Mein Vater ist zwei Jahre jünger als meine Mutter .
DET ADJ NOUN VERB ADP PROPN PUNCT	DEF IST ROL ENS REL GPE NIL	Der berühmte Dirigent lebt in New~York .
DET NOUN VERB DET NOUN PUNCT PRON AUX PRON VERB PUNCT	DEF ROL EPS DEF CON NIL PRO NOW NOT EXT NIL	Der Dieb sagte der Polizei , er habe nichts gestohlen .
PRON AUX VERB PUNCT	PRO NOW IST NIL	Wir sind beeindruckt .
PRON AUX DET NOUN VERB PUNCT	PRO NOW DEF CON EXT NIL	Er hat das Auto entworfen .
PROPN VERB ADP ADJ NOUN NUM PUNCT	PER EPS REL DOM MOY YOC NIL	Sasaki~Sadako starb am 25. Oktober 1955 .
PRON ADV DET NOUN ADV PUNCT	PRO ENS HAS CON IST NIL	Du trägst dein T-Shirt verkehrt~herum .
DET NOUN ADP PROPN AUX DET NOUN PUNCT	PRX CON REL PER ENS DIS CON NIL	Dieses Gemälde von Rembrandt ist ein Meisterwerk .
PROPN VERB DET NOUN PUNCT	PER EPS HAS CON NIL	Mary ölte ihr Fahrrad .
PROPN VERB ADP PROPN PUNCT	PER ENS REL PER NIL	Tom wartet auf Maria .
ADV VERB NUM DET NOUN PUNCT	PER EPS YOC DEF CON NIL	Alfred~Nobel erfand 1866 das Dynamit .
PROPN AUX ADV ADP DET NOUN PUNCT	PER NOW MOR REL HAS ROL NIL	Tom ist größer als seine Mutter .
DET NOUN DET NOUN AUX ADV PUNCT	DEF CON HAS CON NOW COL NIL	Das Dach meines Hauses ist rot .
PRON VERB PRON ADP PRON PUNCT	PRO ENS NOT REL PRO NIL	Ich kenne keine von ihnen .
PRON AUX DET NOUN PUNCT	PRO ENS NOT CON NIL	Er mag keine Katzen .
NOUN PROPN VERB PUNCT	ROL PER EPS NIL	Herr Smith kam .
PRON VERB DET NOUN ADV PUNCT	PRO NOW DEF CON EXS NIL	Mir tut der Arsch weh .
PRON VERB DET NOUN PUNCT	PRO ENS DIS CON NIL	Sie trägt eine Sonnenbrille .
PRON VERB NOUN PUNCT	PRO ENS CON NIL	Er lernt Chinesisch .
PRON VERB NOUN PUNCT	PRO EPS CON NIL	Er braute Bier .
PRON VERB ADP DET ADJ NOUN PUNCT	PRO ENS REL DIS IST CON NIL	Sie leidet an einer ansteckenden Krankheit .
PRON AUX ADP PROPN VERB PUNCT	PRO NOW REL GPE EXT NIL	Ich bin in Russland geboren .
PROPN VERB DET NOUN PUNCT	PER EPS DEF CON NIL	Tom verschüttete die Milch .
PRON VERB ADV ADJ NOUN PUNCT	NIL ENS ALT GPO ROL NIL	Es gibt auch französische Touristen .
DET NOUN VERB ADP NOUN PUNCT	PRX CON ENS REL CON NIL	Dieser Rasenmäher läuft mit Benzin .
DET NOUN VERB PRON PUNCT	HAS CON EPS PRO NIL	Seine Rede langweilte mich .
DET NOUN VERB DET NOUN PUNCT	PRX CON ENS HAS ROL NIL	Diese Enzyklopädie gehört meiner Frau .
PROPN VERB DET NOUN ADP PROPN PROPN PROPN PUNCT	PER EPS DEF CON REL PER HAS CON NIL	Tom entfernte den Splitter aus Maria s Finger .
PRON VERB PRON ADP DET NOUN PUNCT	PRO EPS PRO REL DEF CON NIL	Er fasste ihr auf die Schulter .
PRON AUX DET ADJ NOUN PUNCT	PRO ENS DIS GPO CON NIL	Ich möchte einen englischen Muffin .
PROPN VERB ADP NOUN PUNCT	PER EPS DEF CON NIL	Tom rannte ins Haus .
DET NOUN VERB PUNCT	DEF CON ENS NIL	Die Katze miaut .
DET NOUN VERB ADV PUNCT	DEF CON EPS ALT NIL	Die Versammlung wählte wieder .
PRON AUX PRON PRON VERB PUNCT	PRO NOW PRO DIS EXT NIL	Ich habe dir etwas mitgebracht .
PRON AUX VERB PUNCT	PRO NOW IST NIL	Er ist stockbetrunken .
PRON AUX PART NUM NOUN ADV PUNCT	PRO NOW NOT QUC UOM DEG NIL	Ich bin nicht dreißig Jahre alt .
DET ADJ NOUN VERB ADJ NOUN PUNCT	DEF GPO CON EPS IST CON NIL	Der amerikanische Junge sprach gebrochenes Japanisch .
PRON VERB ADJ NOUN PUNCT	PRO ENS IST CON NIL	Mir gefällt frische Luft .
DET NOUN AUX ADV ADV PUNCT	DEF CON NOW INT DEG NIL	Der See ist sehr tief .
PRON VERB PRON PUNCT	PRO EPS PRO NIL	Sie vergab ihm .
PRON VERB NOUN PUNCT	PRO ENS CON NIL	Ich esse Käse .
PROPN VERB ADP DET NOUN PUNCT	PER EPS REL DEF ROL NIL	Tom schäkerte mit der Kellnerin .
PROPN VERB NOUN PUNCT	PER ENS CON NIL	Tom hat Krebs .
DET NOUN AUX PROPN ADV PUNCT	PRX CON NOW NOT IST NIL	Diese Arbeit ist auf~keinen~Fall einfach .
DET NOUN AUX VERB PUNCT	DEF CON FUT EXS NIL	Der Schmerz wird nachlassen .
PROPN VERB DET NOUN ADP DET NOUN PUNCT	PER EPS HAS CON REL DEF CON NIL	Tom legte sein Portemonnaie auf den Tisch .
PRON VERB ADP DET NOUN ADP PROPN PUNCT	PRO ENS REL DIS CON REL GPE NIL	Sie wohnt in irgendeinem Dorf in Indien .
PRON VERB DET NOUN ADV PUNCT	PRO NOW DEF CON EXS NIL	Mir tut das Handgelenk weh .
PROPN AUX ADV PUNCT	PER NOW DEG NIL	Tom ist groß .
DET NOUN AUX ADP PROPN VERB PUNCT	PRX CON PST REL GPE EXS NIL	Dieses Auto wurde in Japan produziert .
PRON VERB DET NOUN ADP DET NOUN PUNCT	PRO EPS DEF CON REL DEF CON NIL	Sie legte die Zeitschrift auf den Tisch .
PROPN VERB DET NOUN PUNCT	PER ENS HAS CON NIL	Maria liebt ihr Pferdchen .
PRON VERB ADP DET NOUN PUNCT	PRO ENS REL DST CON NIL	Ich ziele auf jene Ente .
PRON AUX ADV ADV ADP DET NOUN PUNCT	PRO NOW INT IST REL DEF CON NIL	Sie ist sehr geschickt mit der Säge .
DET NOUN PRON PUNCT	DST EPS AND NIL	Das missfiel allen .
PRON VERB DET NOUN ADP DET NOUN PUNCT	PRO EPS HAS ROL REL DEF CON NIL	Sie klopfte ihrem Sohn auf die Schulter .
