p	d	raw_text_en	source	id	French translation	French source	Last accessed	French tokenization
22	805	You are crazy.	http://opus.lingfil.uu.se/Tatoeba.php	69483	Tu est fou.	https://tatoeba.org/en/sentences/show/587208	12.05.2022	Tu est fou .
22	1390	Who is the leader of the Algerian Armed Islamic Group?	http://clef-qa.fbk.eu/2004/resources.html	-	Qui est le chef du groupe islamique armé algérien ?	-	-	Qui est le chef du groupe islamique armé algérien ?
22	932	Who wrote the Bible?	http://opus.lingfil.uu.se/Tatoeba.php	1534108	Qui a écrit la Bible ?	https://tatoeba.org/en/sentences/show/1370852	12.05.2022	Qui a écrit la Bible ?
41	1390	What association does Hope Holcomb lead?	http://clef-qa.fbk.eu/2004/resources.html	-	Quelle est l'assosation dirigée par Hope Holcomb ?	-	-	Quelle est l' assosation dirigée par Hope_Holcomb ?
71	860	I am tired.	http://opus.lingfil.uu.se/Tatoeba.php	397714	Je suis fatigué.	-	-	Je suis fatigué .
66	712	Dean Lynn Hart lives in Truckee River Trail.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	150	Dean Lynn Hart vit à Truckee River Trail.	-	-	Dean Lynn_Hart vit à Truckee_River_Trail .
66	815	My grandfather was born in 1920.	http://opus.lingfil.uu.se/Tatoeba.php	251332	Mon grand-père est né en 1920.	https://tatoeba.org/en/sentences/show/7698	12.05.2022	Mon grand-père est né en 1920 .
20	716	Franz Liszt lived from 1811 to 1886.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	504/496/497/498	Franz Liszt a vécu de 1811 à 1886.	-	-	Franz_Liszt a vécu de 1811 à 1886 .
80	1467	They're afraid of Tom.	http://opus.lingfil.uu.se/Tatoeba.php	3519623	Ils ont peur de Tom.	-	-	Ils ont peur de Tom .
80	2606	My uncle is rich.	http://opus.lingfil.uu.se/Tatoeba.php	1388690	Mon oncle est riche.	https://tatoeba.org/en/sentences/show/1551045	12.05.2022	Mon oncle est riche .
80	3239	Tom bought a newspaper.	http://opus.lingfil.uu.se/Tatoeba.php	4217506	Tom a acheté un journal.	https://tatoeba.org/en/sentences/show/2898829	12.05.2022	Tom a acheté un journal .
80	3476	Everybody makes mistakes.	http://opus.lingfil.uu.se/Tatoeba.php	1883089	Tout le monde commet des erreurs.	https://tatoeba.org/en/sentences/show/1776188	12.05.2022	Tout le monde commet des erreurs .
80	797	This book is written in English.	http://opus.lingfil.uu.se/Tatoeba.php	56993	Ce livre est écrit en anglais.	https://tatoeba.org/en/sentences/show/1008680	12.05.2022	Ce livre est écrit en anglais .
80	2764	I was young and innocent.	http://opus.lingfil.uu.se/Tatoeba.php	1853794	J'étais jeune et innocent.	https://tatoeba.org/en/sentences/show/2355619	12.05.2022	J'étais jeune et innocent .
80	823	I read comic books.	http://opus.lingfil.uu.se/Tatoeba.php	261873	Je lis des bandes dessinées.	https://tatoeba.org/en/sentences/show/4684069	12.05.2022	Je lis des bandes_dessinées .
94	1905	Who discovered radium?	http://opus.lingfil.uu.se/Tatoeba.php	276275	Qui a découvert le radium?	https://tatoeba.org/en/sentences/show/715624	12.05.2022	Qui a découvert le radium ?
50	765	Kanchenjunga is 8586 meters high.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	572/574	Le Kanchenjunga est haut de 8586 mètres.	-	-	Le Kanchenjunga est haut de 8586 mètres .
5	915	My girlfriend is very jealous.	http://opus.lingfil.uu.se/Tatoeba.php	1341533	Ma petite amie est très jalouse.	https://tatoeba.org/en/sentences/show/1341531	12.05.2022	Ma petite_amie est très jalouse .
92	711	Dickson worked for Edison.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	76	Dickson a travaillé pour Edison.	-	-	Dickson a travaillé pour Edison .
73	2380	Tom ironed his clothes.	http://opus.lingfil.uu.se/Tatoeba.php	1177610	Tom a repassé ses vêtements.	https://tatoeba.org/en/sentences/show/6463335	12.05.2022	Tom a repassé ses vêtements .
0	3369	We were right.	http://opus.lingfil.uu.se/Tatoeba.php	1111619	Nous avions raison.	https://tatoeba.org/en/sentences/show/1111620	12.05.2022	Nous avions raison .
0	826	My uncle bought me this book.	http://opus.lingfil.uu.se/Tatoeba.php	266622	Mon oncle m'a acheté ce livre.	-	-	Mon oncle m' a acheté ce livre .
0	959	I'm sleepy!	http://opus.lingfil.uu.se/Tatoeba.php	322707-384938	J'ai sommeil !	-	-	J' ai sommeil !
0	952	I lost my key.	http://opus.lingfil.uu.se/Tatoeba.php	460058-481111	J'ai perdu mes clés.	-	-	J' ai perdu mes clés .
48	837	He swam across the river.	http://opus.lingfil.uu.se/Tatoeba.php	291092	Il traversa la rivière à la nage.	https://tatoeba.org/en/sentences/show/135951	12.05.2022	Il traversa la rivière à la nage .
16	902	Someone is knocking on the door.	http://opus.lingfil.uu.se/Tatoeba.php	1065448	Quelqu'un frappe à la porte.	https://tatoeba.org/en/sentences/show/1065999	12.05.2022	Quelqu'un frappe à la porte .
1	937	I am from Portugal.	http://opus.lingfil.uu.se/Tatoeba.php	1879775	Je viens du Portugal.	https://tatoeba.org/en/sentences/show/2394556	12.05.2022	Je viens du Portugal .
