	pos	tok	sem
0	PROPN AUX VERB PROPN PUNCT	Kraft a vendu Celestial_Seasonings .	ORG NOW EXT ORG NIL
1	NOUN AUX AUX VERB PUNCT	Anna_Politkovskaya a été assassinée .	PER NOW PFT EXS NIL
2	DET NOUN VERB DET NOUN ADJ PUNCT	Les yakuza forment la mafia japonaise .	DEF CON ENS DEF CON GPO NIL
3	PROPN AUX VERB DET NOUN PROPN ADP NUM NOUN PUNCT	Yunus a fondé la banque Grameen il_y_a 30 ans .	PER NOW EXT DEF CON ORG DXT QUC UOM NIL
4	NOUN AUX DET ADJ NOUN PUNCT	Maria a les cheveux longs .	PER NOW DEF CON DEG NIL
5	PROPN AUX ADJ ADP DET NOUN PUNCT	Bob est populaire à l' école .	PER NOW IST REL DEF CON NIL
6	ADJ NOUN PUNCT	Joli costume .	IST CON NIL
7	DET AUX DET NOUN PUNCT	Où sont les parcmètres ?	QUE NOW DEF CON QUE
8	PROPN AUX VERB DET NOUN PUNCT	Tom a utilisé un cure-dent .	PER NOW EXT DIS CON NIL
9	DET NOUN PROPN PUNCT	Voici Mademoiselle Curtis .	PRX ROL PER NIL
10	NOUN AUX ADV ADJ PUNCT	Bob était très content .	PER PST INT IST NIL
11	INTJ PUNCT	Salut .	GRE NIL
12	INTJ PUNCT	Bonjour !	GRE EMP
13	PROPN AUX VERB PROPN PUNCT	Kraft a vendu Celestial_Seasonings .	ORG NOW EXT ORG NIL
14	NOUN AUX VERB NUM NOUN PUNCT	Raman_Raghav a assassiné 9 personnes .	PER NOW EXT QUC CON NIL
15	PROPN AUX VERB DET NOUN ADP NUM PUNCT	Alfred_Nobel a inventé la dynamite en 1866 .	PER NOW EXT DEF CON REL YOC NIL
16	PRON AUX VERB DET DET NOUN PUNCT	Il a brassé de_la bière .	PRO NOW EXT REL DEF CON NIL
17	PRON AUX DET NOUN ADJ PUNCT	Elle a une maladie contagieuse .	PRO NOW DIS CON IST NIL
18	PRON PRON AUX ADV DET NOUN ADJ PUNCT	Il y a aussi des touristes français .	PRO DXP NOW ALT DEF ROL GPO NIL
19	DET NOUN AUX ADV ADJ PUNCT	Le lac est très profond .	DEF CON NOW INT DEG NIL
20	PRON ADV VERB VERB DET NOUN PUNCT	Personne ne peut résoudre ce problème .	NOT NOT POS EXS PRX CON NIL
21	DET NOUN ADJ AUX ADJ PUNCT	La jupe rouge est neuve .	DEF CON COL NOW IST NIL
22	PRON AUX AUX VERB DET NOUN PUNCT	Personne n' a résolu le problème .	NOT NOT NOW EXT DEF CON NIL
23	PRON VERB DET NOUN PUNCT	Je mange une pomme .	PRO ENS DIS CON NIL
24	DET NOUN PROPN AUX VERB DET NOUN PROPN ADP NOUN NUM PUNCT	Le capitaine Scott a découvert l' île Scott en décembre 1902 .	DEF ROL PER NOW EXT DEF CON GPE REL MOY YOC NIL
25	PRON AUX VERB ADP NUM NOUN PUNCT	Il a plu pendant cinq jours .	PRO NOW EXT REL QUC UOM NIL
26	PRON AUX NUM NOUN PUNCT	J' ai deux chats .	PRO NOW QUC CON NIL
27	PRON AUX VERB DET NUM NOUN PUNCT	Carl_Smith est mort le 8 août .	PER NOW EXT DEF DOM MOY NIL
28	DET NOUN AUX ADJ PUNCT	Cet homme a raison .	PRX CON NOW CON NIL
29	PRON PRON AUX DET NOUN ADP DET NOUN PUNCT	Il y a un biscuit sous la table .	PRO DXP NOW DIS CON REL DEF CON NIL
30	DET NOUN AUX VERB VERB NUM NOUN PUNCT	Ma mère a fait cuire dix œufs .	HAS ROL NOW EXT EXS QUC CON NIL
31	PRON VERB DET NOUN PUNCT	Je conduis une décapotable .	PRO ENS DIS CON NIL
32	DET PROPN AUX VERB NUM NOUN ADP PROPN PUNCT	La Roumanie a envoyé 730 soldats en Irak .	DEF GPE NOW EXT QUC CON REL GPE NIL
33	PROPN AUX AUX ADV VERB DET NOUN PUNCT	Bill n' a pas commis ce crime .	PER NOT NOW NOT EXT PRX CON NIL
34	DET NOUN VERB NUM NOUN PUNCT	Ce livre coûte 4 dollars .	PRX CON ENS QUC UOM NIL
35	DET AUX VERB DET NOUN PROPN PUNCT	Où est né le réalisateur Michelangelo_Antonioni ?	QUE NOW EXT DEF PER QUE NIL
36	PRON AUX VERB DET NOUN PUNCT	J' ai commandé une pizza .	PRO NOW EXT DIS CON NIL
37	PROPN AUX AUX VERB ADP DET NOUN PUNCT	Baena_Soares a été arrêté par l' armée .	PER NOW PFT EXS REL DEF CON NIL
38	PROPN VERB ADP PROPN PUNCT	John vit à New_York .	PER NOW REL GPE NIL
39	DET AUX DET NOUN PUNCT	Où est le journal ?	QUE NOW DEF CON QUE
40	PRON VERB DET NOUN PUNCT	Il avait une fille .	PRO EPS QUC ROL NIL
41	DET NOUN AUX ADJ PUNCT	Le chien est blanc .	DEF CON NOW COL NIL
42	DET NOUN AUX ADJ PUNCT	Cette maison est connue .	PRX CON NOW IST NIL
43	DET VERB DET NOUN PUNCT	Qui chante cette chanson ?	QUE ENS PRX CON QUE
44	DET NOUN VERB NUM NOUN ADP ADJ PUNCT	La tour fait quinze mètres de haut .	DEF CON ENS QUC UOM REL CON NIL
45	DET PROPN AUX VERB DET PROPN PUNCT	Le Canada a battu les Etats-Unis .	DEF GPE NOW EXT DEF GPE NIL
46	DET PROPN AUX VERB DET PROPN PUNCT	L' Italie a battu le Kazakhstan .	DEF GPE NOW EXT DEF GPE NIL
47	PROPN AUX AUX VERB ADP PROPN PUNCT	Vladislav_Listyev a été assassiné à Moscou .	PER NOW PFT EXS REL GPE NIL
48	PRON AUX VERB DET NOUN PUNCT	Personne n' aime la guerre .	NOT NOT ENS DEF CON NIL
49	PROPN AUX AUX VERB ADP PROPN PUNCT	Vladislav_Listyev a été assassiné à Moscou .	PER NOW PFT EXS REL GPE NIL
