	document	raw_pos	processed_pos	sem
0	Charles~de~Gaulle morì nel 1970 .	PROPN PROPN ADP VERB ADP NUM PUNCT	PROPN ADP VERB ADP NUM PUNCT	PER EPS DEF YOC NIL
1	L' aeroplano decollò .	PRON PUNCT PRON VERB PUNCT	PRON PUNCT PRON VERB PUNCT	DEF CON EPS NIL
2	Charles~de~Gaulle morì nel 1970 .	PROPN PROPN ADP VERB ADP NUM PUNCT	PROPN ADP VERB ADP NUM PUNCT	PER EPS DEF YOC NIL
3	Sto mirando a quell' anatra .	PROPN VERB ADP PROPN PUNCT VERB PUNCT	PROPN VERB ADP PROPN PUNCT VERB PUNCT	NOW EXG REL DST CON NIL
4	Tom applaudì .	PROPN PROPN PUNCT	PROPN PUNCT	PER EPS NIL
5	Tom ha pagato un hot~dog per Mary .	PROPN AUX VERB DET ADJ PROPN NOUN ADP PROPN PUNCT	PROPN AUX VERB DET ADJ PROPN NOUN ADP PROPN PUNCT	PER NOW EXT DIS CON REL PER NIL
6	L' ufficio era deserto .	PRON PUNCT NOUN AUX ADJ PUNCT	PRON PUNCT NOUN AUX ADJ PUNCT	DEF CON PST IST NIL
7	Il mercato~azionario cadde .	DET NOUN PROPN NOUN ADJ PUNCT	DET NOUN PROPN NOUN ADJ PUNCT	DEF CON EPS NIL
8	Passò mezz' ora .	PROPN ADJ PUNCT ADV PUNCT	PROPN ADJ PUNCT ADV PUNCT	EPS QUC UOM NIL
9	Carl~Smith morì l' 8 agosto .	NOUN VERB PROPN PUNCT NUM NOUN PUNCT	NOUN VERB PROPN PUNCT NUM NOUN PUNCT	PER EPS DEF DOM MOY NIL
10	L' uomo ha ragione .	PRON PUNCT NOUN VERB NOUN PUNCT	PRON PUNCT NOUN VERB NOUN PUNCT	DEF CON NOW IST NIL
11	L' irlandese risponde .	PRON PUNCT ADJ VERB PUNCT	PRON PUNCT ADJ VERB PUNCT	DEF GPO ENS NIL
12	Ho comprato quell' auto .	AUX VERB PROPN PUNCT ADJ PUNCT	AUX VERB PROPN PUNCT ADJ PUNCT	NOW EXT DST CON NIL
13	Nessuno l' ha chiamato .	PRON PRON PRON AUX VERB PUNCT	PRON PRON PRON AUX VERB PUNCT	NOT PRO NOW EXT NIL
