ID	raw_text_en	source	id	French translation	French source	Last accessed
00/0712	Kraft sold Celestial Seasonings.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	84	Kraft a vendu Celestial Seasonings.		
00/0715	Anna Politkovskaya was murdered.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	384	Anna Politkovskaya a été assassinée.		
00/0717	The yakuza are the Japanese mafia.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	584	Les yakuza forment la mafia japonaise.		
00/0766	Yunus founded the Grameen Bank 30 years ago.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	623	Yunus a fondé la banque Grameen il y a 30 ans.		
00/0771	Maria has long hair.	http://opus.lingfil.uu.se/Tatoeba.php	5994	Maria a les cheveux longs.	https://tatoeba.org/eng/sentences/show/5995	21.05.2021
00/0784	Bob is popular at school.	http://opus.lingfil.uu.se/Tatoeba.php	33196	Bob est populaire à l'école.	https://tatoeba.org/eng/sentences/show/332272	21.05.2021
00/0881	Nice suit.	http://opus.lingfil.uu.se/Tatoeba.php	576038	Joli costume.	https://tatoeba.org/en/sentences/show/9820923	21.05.2021
00/0895	Where are the parking metres?	http://opus.lingfil.uu.se/Tatoeba.php	839798	Où sont les parcmètres ?	https://tatoeba.org/eng/sentences/show/839795	21.05.2021
00/0927	Tom used a toothpick.	http://opus.lingfil.uu.se/Tatoeba.php	1482611	Tom a utilisé un cure-dent.	https://tatoeba.org/en/sentences/show/10052984	21.05.2021
00/1549	This is Miss Curtis.	http://opus.lingfil.uu.se/Tatoeba.php	61536	Voici Mademoiselle Curtis.	https://tatoeba.org/en/sentences/show/10052994	21.05.2021
01/0784	Bob was very happy.	http://opus.lingfil.uu.se/Tatoeba.php	33211	Bob était très content.	https://tatoeba.org/en/sentences/show/10053014	21.05.2021
01/0877	Hi.	http://opus.lingfil.uu.se/Tatoeba.php	538123	Salut.	https://tatoeba.org/eng/sentences/show/4320462	21.05.2021
01/0958	Hello!	http://opus.lingfil.uu.se/Tatoeba.php	373330-373339	Bonjour !	https://tatoeba.org/eng/sentences/show/373345	21.05.2021
02/0712	Kraft sold Celestial Seasonings.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	86	Kraft a vendu Celestial Seasonings.		
02/0713	9 people were assassinated by Raman Raghav.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	186	Raman Raghav a assassiné 9 personnes.		
03/0766	Alfred Nobel invented dynamite in 1866.	http://pascallin.ecs.soton.ac.uk/Challenges/RTE3/Datasets/	626	Alfred Nobel a inventé la dynamite en 1866.		
03/0884	He brewed beer.	http://opus.lingfil.uu.se/Tatoeba.php	641274	Il a brassé de la bière.	https://tatoeba.org/en/sentences/show/10053893	21.05.2021
03/0900	She suffers from a contagious disease.	http://opus.lingfil.uu.se/Tatoeba.php	1018007	Elle a une maladie contagieuse.	https://tatoeba.org/en/sentences/show/10068750	28.05.2021
03/0946	There are also French tourists.	http://opus.lingfil.uu.se/Tatoeba.php	2685810	Il y a aussi des touristes français.	https://tatoeba.org/en/sentences/show/10053896	21.05.2021
03/2101	The lake is very deep.	http://opus.lingfil.uu.se/Tatoeba.php	482141	Le lac est très profond.	https://tatoeba.org/eng/sentences/show/482167	21.05.2021
04/0830	Nobody can solve this problem.	http://opus.lingfil.uu.se/Tatoeba.php	276577	Personne ne peut résoudre ce problème.	https://tatoeba.org/en/sentences/show/634681	21.05.2021
05/0820	The red skirt is new.	http://opus.lingfil.uu.se/Tatoeba.php	462894	La jupe rouge est neuve.	https://tatoeba.org/eng/sentences/show/961204	21.05.2021
05/0830	Nobody has solved the problem.	http://opus.lingfil.uu.se/Tatoeba.php	276578	Personne n'a résolu le problème.	https://tatoeba.org/en/sentences/show/129251	21.05.2021
05/0904	I eat an apple.	http://opus.lingfil.uu.se/Tatoeba.php	1098565	Je mange une pomme.	https://tatoeba.org/en/sentences/show/13776	21.05.2021
