ID	literal	sm	md	are_similar
00/0712	Kraft a vendu Celestial Seasonings.	Kraft a vendu Celestial Seasonings .	Kraft a vendu Celestial Seasonings .	1
00/0715	Anna Politkovskaya a été assassinée.	Anna Politkovskaya a été assassinée .	Anna Politkovskaya a été assassinée .	1
00/0717	Les yakuza forment la mafia japonaise.	Les yakuza forment la mafia japonaise .	Les yakuza forment la mafia japonaise .	1
00/0766	Yunus a fondé la banque Grameen il y a 30 ans.	Yunus a fondé la banque Grameen il y a 30 ans .	Yunus a fondé la banque Grameen il y a 30 ans .	1
00/0771	Maria a les cheveux longs.	Maria a les cheveux longs .	Maria a les cheveux longs .	1
00/0784	Bob est populaire à l'école.	Bob est populaire à l' école .	Bob est populaire à l' école .	1
00/0881	Joli costume.	Joli costume .	Joli costume .	1
00/0895	Où sont les parcmètres ?	Où sont les parcmètres ?	Où sont les parcmètres ?	1
00/0927	Tom a utilisé un cure-dent.	Tom a utilisé un cure - dent .	Tom a utilisé un cure - dent .	1
00/1549	Voici Mademoiselle Curtis.	Voici Mademoiselle Curtis .	Voici Mademoiselle Curtis .	1
01/0784	Bob était très content.	Bob était très content .	Bob était très content .	1
01/0877	Salut.	Salut .	Salut .	1
01/0958	Bonjour !	Bonjour !	Bonjour !	1
02/0712	Kraft a vendu Celestial Seasonings.	Kraft a vendu Celestial Seasonings .	Kraft a vendu Celestial Seasonings .	1
02/0713	Raman Raghav a assassiné 9 personnes.	Raman Raghav a assassiné 9 personnes .	Raman Raghav a assassiné 9 personnes .	1
03/0766	Alfred Nobel a inventé la dynamite en 1866.	Alfred Nobel a inventé la dynamite en 1866 .	Alfred Nobel a inventé la dynamite en 1866 .	1
03/0884	Il a brassé de la bière.	Il a brassé de la bière .	Il a brassé de la bière .	1
03/0900	Elle a une maladie contagieuse.	Elle a une maladie contagieuse .	Elle a une maladie contagieuse .	1
03/0946	Il y a aussi des touristes français.	Il y a aussi des touristes français .	Il y a aussi des touristes français .	1
03/2101	Le lac est très profond.	Le lac est très profond .	Le lac est très profond .	1
04/0830	Personne ne peut résoudre ce problème.	Personne ne peut résoudre ce problème .	Personne ne peut résoudre ce problème .	1
05/0820	La jupe rouge est neuve.	La jupe rouge est neuve .	La jupe rouge est neuve .	1
05/0830	Personne n'a résolu le problème.	Personne n' a résolu le problème .	Personne n' a résolu le problème .	1
05/0904	Je mange une pomme.	Je mange une pomme .	Je mange une pomme .	1
06/0760	Le capitaine Scott a découvert l'île Scott en décembre 1902.	Le capitaine Scott a découvert l' île Scott en décembre 1902 .	Le capitaine Scott a découvert l' île Scott en décembre 1902 .	1
06/0910	Il a plu pendant cinq jours.	Il a plu pendant cinq jours .	Il a plu pendant cinq jours .	1
06/2903	J'ai deux chats.	J' ai deux chats .	J' ai deux chats .	1
07/0760	Carl Smith est mort le 8 août.	Carl Smith est mort le 8 août .	Carl Smith est mort le 8 août .	1
07/0905	Cet homme a raison.	Cet homme a raison .	Cet homme a raison .	1
07/0914	Il y a un biscuit sous la table.	Il y a un biscuit sous la table .	Il y a un biscuit sous la table .	1
07/0928	Ma mère a fait cuire dix œufs.	Ma mère a fait cuire dix œufs .	Ma mère a fait cuire dix œufs .	1
07/3391	Je conduis une décapotable.	Je conduis une décapotable .	Je conduis une décapotable .	1
08/0765	La Roumanie a envoyé 730 soldats en Irak.	La Roumanie a envoyé 730 soldats en Irak .	La Roumanie a envoyé 730 soldats en Irak .	1
08/0785	Bill n'a pas commis ce crime.	Bill n' a pas commis ce crime .	Bill n' a pas commis ce crime .	1
08/0934	Ce livre coûte 4 dollars.	Ce livre coûte 4 dollars .	Ce livre coûte 4 dollars .	1
09/1392	Où est né le réalisateur Michelangelo Antonioni ?	Où est né le réalisateur Michelangelo Antonioni ?	Où est né le réalisateur Michelangelo Antonioni ?	1
09/2518	J'ai commandé une pizza.	J' ai commandé une pizza .	J' ai commandé une pizza .	1
10/0713	Baena Soares a été arrêté par l'armée.	Baena Soares a été arrêté par l' armée .	Baena Soares a été arrêté par l' armée .	1
10/0795	John vit à New York.	John vit à New York .	John vit à New York .	1
10/0827	Où est le journal ?	Où est le journal ?	Où est le journal ?	1
10/0853	Il avait une fille.	Il avait une fille .	Il avait une fille .	1
10/0878	Le chien est blanc.	Le chien est blanc .	Le chien est blanc .	1
10/0883	Cette maison est connue.	Cette maison est connue .	Cette maison est connue .	1
10/0887	Qui chante cette chanson ?	Qui chante cette chanson ?	Qui chante cette chanson ?	1
10/2336	La tour fait quinze mètres de haut.	La tour fait quinze mètres de haut .	La tour fait quinze mètres de haut .	1
13/0713	Le Canada a battu les Etats-Unis.	Le Canada a battu les Etats-Unis .	Le Canada a battu les Etats-Unis .	1
14/0713	L'Italie a battu le Kazakhstan.	L' Italie a battu le Kazakhstan .	L' Italie a battu le Kazakhstan .	1
14/0716	Vladislav Listyev a été assassiné à Moscou.	Vladislav Listyev a été assassiné à Moscou .	Vladislav Listyev a été assassiné à Moscou .	1
14/1740	Personne n'aime la guerre.	Personne n' aime la guerre .	Personne n' aime la guerre .	1
15/0716	Vladislav Listyev a été assassiné à Moscou.	Vladislav Listyev a été assassiné à Moscou .	Vladislav Listyev a été assassiné à Moscou .	1
15/0816	Ma soeur est célèbre.	Ma soeur est célèbre .	Ma soeur est célèbre .	1
15/0956	La porte est fermée.	La porte est fermée .	La porte est fermée .	1
15/2508	La viande est congelée.	La viande est congelée .	La viande est congelée .	1
16/0761	Saddam Hussein fuit aux États-Unis.	Saddam Hussein fuit aux États-Unis .	Saddam Hussein fuit aux États-Unis .	1
17/2559	Auckland est une ville de Nouvelle-Zélande.	Auckland est une ville de Nouvelle - Zélande .	Auckland est une ville de Nouvelle - Zélande .	1
18/1618	Mon père est grand.	Mon père est grand .	Mon père est grand .	1
19/0711	Aurore Paquiss est marié à Chabrol.	Aurore Paquiss est marié à Chabrol .	Aurore Paquiss est marié à Chabrol .	1
19/0712	Henri Ford a fondé l'entreprise Ford.	Henri Ford a fondé l' entreprise Ford .	Henri Ford a fondé l' entreprise Ford .	1
19/0918	La frontière est fermée.	La frontière est fermée .	La frontière est fermée .	1
19/2243	Tom est mon cousin.	Tom est mon cousin .	Tom est mon cousin .	1
20/0761	Senecal habite le Manoir Cortland.	Senecal habite le Manoir Cortland .	Senecal habite le Manoir Cortland .	1
20/0785	Picasso est un artiste célèbre.	Picasso est un artiste célèbre .	Picasso est un artiste célèbre .	1
20/0851	Le vent souffle.	Le vent souffle .	Le vent souffle .	1
20/0874	Sumatra est une île.	Sumatra est une île .	Sumatra est une île .	1
21/0860	Deux plus deux égale quatre.	Deux plus deux égale quatre .	Deux plus deux égale quatre .	1
21/0867	Marilyn Monroe est morte il y a 33 ans.	Marilyn Monroe est morte il y a 33 ans .	Marilyn Monroe est morte il y a 33 ans .	1
21/1954	Beaucoup de gens admire Nikklo.	Beaucoup de gens admire Nikklo .	Beaucoup de gens admire Nikklo .	1
23/0711	Sandra Goudie a perdu contre Max Purnell.	Sandra Goudie a perdu contre Max Purnell .	Sandra Goudie a perdu contre Max Purnell .	1
24/3251	Le chat est sous la table.	Le chat est sous la table .	Le chat est sous la table .	1
