literal	wt	wp	are_similar
Kraft a vendu Celestial Seasonings.	['Kraft', 'a', 'vendu', 'Celestial', 'Seasonings', '.']	['Kraft', 'a', 'vendu', 'Celestial', 'Seasonings', '.']	True
Anna Politkovskaya a été assassinée.	['Anna', 'Politkovskaya', 'a', 'été', 'assassinée', '.']	['Anna', 'Politkovskaya', 'a', 'été', 'assassinée', '.']	True
Les yakuza forment la mafia japonaise.	['Les', 'yakuza', 'forment', 'la', 'mafia', 'japonaise', '.']	['Les', 'yakuza', 'forment', 'la', 'mafia', 'japonaise', '.']	True
Yunus a fondé la banque Grameen il y a 30 ans.	['Yunus', 'a', 'fondé', 'la', 'banque', 'Grameen', 'il', 'y', 'a', '30', 'ans', '.']	['Yunus', 'a', 'fondé', 'la', 'banque', 'Grameen', 'il', 'y', 'a', '30', 'ans', '.']	True
Maria a les cheveux longs.	['Maria', 'a', 'les', 'cheveux', 'longs', '.']	['Maria', 'a', 'les', 'cheveux', 'longs', '.']	True
Bob est populaire à l'école.	"['Bob', 'est', 'populaire', 'à', ""l'école"", '.']"	"['Bob', 'est', 'populaire', 'à', 'l', ""'"", 'école', '.']"	False
Joli costume.	['Joli', 'costume', '.']	['Joli', 'costume', '.']	True
Où sont les parcmètres ?	['Où', 'sont', 'les', 'parcmètres', '?']	['Où', 'sont', 'les', 'parcmètres', '?']	True
Tom a utilisé un cure-dent.	['Tom', 'a', 'utilisé', 'un', 'cure-dent', '.']	['Tom', 'a', 'utilisé', 'un', 'cure', '-', 'dent', '.']	False
Voici Mademoiselle Curtis.	['Voici', 'Mademoiselle', 'Curtis', '.']	['Voici', 'Mademoiselle', 'Curtis', '.']	True
Bob était très content.	['Bob', 'était', 'très', 'content', '.']	['Bob', 'était', 'très', 'content', '.']	True
Salut.	['Salut', '.']	['Salut', '.']	True
Bonjour !	['Bonjour', '!']	['Bonjour', '!']	True
Kraft a vendu Celestial Seasonings.	['Kraft', 'a', 'vendu', 'Celestial', 'Seasonings', '.']	['Kraft', 'a', 'vendu', 'Celestial', 'Seasonings', '.']	True
Raman Raghav a assassiné 9 personnes.	['Raman', 'Raghav', 'a', 'assassiné', '9', 'personnes', '.']	['Raman', 'Raghav', 'a', 'assassiné', '9', 'personnes', '.']	True
