id	l1_token	l1_semtag	l1_postag	l2_token	l2_semtag	l2_postag
00/0712	Kraft a vendu Celestial~Seasonings .	ORG NOW EXT ORG NIL	PROPN AUX VERB PROPN PROPN PROPN PUNCT	ø Kraft vendette la Celestial~Seasonings .	DEF ORG EPS DEF ORG NIL	ADP PROPN VERB DET PROPN PUNCT
00/0715	Anna~Politkovskaya a été assassinée .	PER PST EXS EXS NIL	PROPN ADJ PROPN AUX AUX VERB PUNCT	ø Anna~Politkovskaya fu uccisa .	DEF PER PST EXS NIL	ADV AUX AUX VERB PUNCT
00/0717				I Yakuza sono la mafia giapponese .	DEF CON ENS DEF CON GPO NIL	DET PROPN AUX DET NOUN ADJ PUNCT
00/0766	Yunus a fondé la banque Grameen il y a 30 ans .	PER UNK EPS DEF ORG QUC UNK PST UNK UOM UOM NIL	PROPN AUX VERB DET NOUN PROPN PRON PRON VERB NUM NOUN PUNCT	ø Yunus fondò la Grameen~Bank ø 30 anni fa .	DEF PER EPS DEF ORG DIS QUC UOM PST NIL	ADV PROPN VERB DET PROPN ADP NUM NOUN ADV PUNCT
00/0771	Maria a les cheveux longs .	PER ENS DIS CON DEG NIL	NOUN VERB DET NOUN ADJ PUNCT			
00/0784	Bob est populaire à l' école .	PER NOW IST UNK REL CON NIL	PROPN AUX ADJ ADP DET PUNCT NOUN PUNCT	ø Bob è popolare a ø scuola .	DEF PER NOW IST REL DIS CON NIL	ADV PROPN AUX ADJ ADP ADP NOUN PUNCT
00/0881	ø Joli costume .	DIS IST CON NIL	NOUN ADJ NOUN PUNCT	ø Bel vestito .	DIS IST CON NIL	ADV ADJ NOUN PUNCT
00/0895				Dove sono i parchimetri ?	QUE ENS DEF CON QUE	ADV AUX DET NOUN PUNCT
00/0927	Tom a utilisé un cure-dent .	PER UNK EPS DIS CON NIL	PROPN AUX VERB DET NOUN NOUN NOUN PUNCT	ø Tom usò uno stuzzicadenti .	DEF PER EPS DIS CON NIL	ADV PROPN VERB DET NOUN PUNCT
00/1549				Questa è la signorina Curtis .	PRX ENS DEF ROL PER NIL	PRON AUX DET NOUN PROPN PUNCT
01/0784				ø Bob era molto felice .	DEF PER PST INT IST NIL	ADV PROPN AUX ADV ADJ PUNCT
01/0877	Salut .	GRE NIL	PROPN PUNCT	Ciao !	GRE EMP	INTJ PUNCT
01/0958	Bonjour !	GRE EMP	PROPN PUNCT	Salve .	GRE EMP	ADJ PUNCT
02/0712	Kraft a vendu Celestial~Seasonings .	ORG UNK EPS ORG NIL	PROPN AUX VERB PROPN PROPN PROPN PUNCT	ø Kraft vendette la Celestial~Seasonings .	DEF ORG EPS DEF ORG NIL	ADP PROPN VERB DET PROPN PUNCT
02/0713	Raman~Raghav a assassiné 9 personnes .	PER NOW EXT QUC CON NIL	PROPN PROPN PROPN AUX VERB NUM NOUN PUNCT	ø 9 persone furono assassinate da ø Raman~Raghav .	DIS QUC CON PST EXS REL DEF PER NIL	ADP NUM NOUN AUX VERB ADP NOUN ADJ PUNCT
03/0766	Alfred~Nobel a inventé la dynamite en 1866 .	PER UNK EPS UNK CON REL YOC NIL	PROPN PROPN PROPN AUX VERB DET NOUN ADP NUM PUNCT	ø Alfred~Nobel inventò la dinamite nel ø 1866 .	DEF PER EPS DEF CON REL DEF YOC NIL	PROPN PROPN VERB DET NOUN ADP NOUN NUM PUNCT
03/0884	Il a brassé de la bière .	PRO UNK EPS UNK UNK CON NIL	PRON AUX VERB ADP DET NOUN PUNCT	Lui fermentava ø birra .	PRO EPS DIS CON NIL	PRON VERB ADP NOUN PUNCT
03/0900	Elle a une maladie contagieuse .	PRO UNK DIS UNK CON NIL	PRON VERB DET NOUN ADJ PUNCT	Lei soffre di una malattia contagiosa .	PRO ENS REL DIS CON IST NIL	PRON VERB ADP DET NOUN ADJ PUNCT
